stem,variant,system,dataset,sample_i,cta_active_pct
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,51,50.233600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,52,43.315200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,53,50.790400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,54,61.088000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,55,41.324800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,56,62.566400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,57,58.118400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,58,72.864000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,59,71.270400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,60,48.697600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,61,44.499200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,62,37.683200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,63,42.393600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,64,55.763200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,65,43.884800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,66,59.859200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,67,41.427200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,68,64.774400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,69,40.755200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,70,42.803200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,71,47.820800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,72,43.929600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,73,44.646400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,74,48.800000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,75,68.300800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,76,45.932800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,77,59.187200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,78,45.772800
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,79,46.899200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,80,45.465600
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,81,54.579200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,82,49.664000
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,83,49.254400
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,84,43.315200
cta_quiver_sift1b_q2_ef45_pw1,cta,Quiver,sift1b,85,40.345600
