stem,variant,system,dataset,sample_id,hop,wait_us,compute_us
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,45,90.112000,25.600000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,46,72.704000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,47,187.392000,28.672000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,48,82.944000,35.840000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,49,80.896000,24.576000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,50,89.088000,24.576000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,51,64.512000,18.432000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,52,90.112000,18.432000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,53,67.584000,18.432000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,54,64.512000,19.456000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,55,91.136000,16.384000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,31578,56,66.560000,18.432000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,0,218.112000,28.672000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,1,246.784000,40.960000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,2,315.392000,41.984000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,3,100.352000,44.032000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,4,258.048000,46.080000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,5,263.168000,40.960000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,6,262.144000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,7,204.800000,41.984000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,8,96.256000,43.008000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,9,432.128000,45.056000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,10,183.296000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,11,196.608000,46.080000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,12,229.376000,44.032000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,13,248.832000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,14,261.120000,39.936000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,15,245.760000,45.056000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,16,232.448000,41.984000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,17,205.824000,47.104000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,18,249.856000,36.864000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,19,168.960000,51.200000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,20,159.744000,47.104000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,21,248.832000,37.888000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,22,302.080000,45.056000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,23,361.472000,40.960000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,24,246.784000,43.008000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,25,175.104000,39.936000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,26,325.632000,41.984000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,27,198.656000,39.936000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,28,347.136000,38.912000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,29,265.216000,45.056000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,30,332.800000,41.984000
flashanns_sift1b_ef45_nb756,,FlashANNS,sift1b,42105,31,242.688000,45.056000
